Record Length,2500,Points,-436.000002082E-6,208.00000429E-3,,Record Length,2500,Points,-436.000002082E-6,196.00000978E-3,
Sample Interval,400.00000467E-9,s,-435.599999037E-6,200.00000298E-3,,Sample Interval,400.00000467E-9,s,-435.599999037E-6,192.00000167E-3,
Trigger Point,1.0900000E3,Samples,-435.199995991E-6,200.00000298E-3,,Trigger Point,1.0900000E3,Samples,-435.199995991E-6,184.00001526E-3,
,,,-434.799992945E-6,188.00000846E-3,,,,,-434.799992945E-6,184.00001526E-3,
,,,-434.399989899E-6,196.00000978E-3,,,,,-434.399989899E-6,180.00000715E-3,
,,,-434.000015957E-6,184.00001526E-3,,,,,-434.000015957E-6,176.00001395E-3,
Source,CH1,,-433.600012911E-6,184.00001526E-3,,Source,CH2,,-433.600012911E-6,168.00001264E-3,
Vertical Units,Volts,,-433.200009866E-6,172.00000584E-3,,Vertical Units,Volts,,-433.200009866E-6,164.00000453E-3,
Vertical Scale,100.0000047E-3,,-432.800006820E-6,172.00000584E-3,,Vertical Scale,100.0000047E-3,,-432.800006820E-6,160.00001132E-3,
Vertical Offset,0,,-432.400003774E-6,164.00000453E-3,,Vertical Offset,0,,-432.400003774E-6,152.00001001E-3,
Horizontal Units,s,,-432.000000728E-6,168.00001264E-3,,Horizontal Units,s,,-432.000000728E-6,148.0000019E-3,
Horizontal Scale,100.0000012E-6,,-431.599997682E-6,152.00001001E-3,,Horizontal Scale,100.0000012E-6,,-431.599997682E-6,144.0000087E-3,
Pt Fmt,Y,,-431.199994637E-6,152.00001001E-3,,Pt Fmt,Y,,-431.199994637E-6,140.0000006E-3,
Yzero,80.000000000E-3,,-430.799991591E-6,148.0000019E-3,,Yzero,0.0,,-430.799991591E-6,140.0000006E-3,
Probe Atten,1.000000,,-430.399988545E-6,140.0000006E-3,,Probe Atten,1.000000,,-430.399988545E-6,131.9999993E-3,
,,,-430.000014603E-6,136.0000074E-3,,,,,-430.000014603E-6,124.0000054E-3,
Note,TDS 1001B - 10:25:16   14/05/2025,,-429.600011557E-6,136.0000074E-3,,Note,TDS 1001B - 10:25:16   14/05/2025,,-429.600011557E-6,120.0000048E-3,
