time,position,scale
-2.497999958e-05,-0.092000007629,0.1000000047
-2.495999979e-05,-0.092000007629,0.1000000047
-2.494e-05,-0.092000007629,0.1000000047
-2.492000021e-05,-0.092000007629,0.1000000047
-2.489999861e-05,-0.092000007629,0.1000000047
-2.487999882e-05,-0.092000007629,0.1000000047
-2.485999903e-05,-0.092000007629,0.1000000047
-2.483999924e-05,-0.092000007629,0.1000000047
-2.481999945e-05,-0.092000007629,0.1000000047
-2.479999966e-05,-0.092000007629,0.1000000047
-2.477999988e-05,-0.096000000834,0.1000000047
-2.476000009e-05,-0.092000007629,0.1000000047
-2.473999848e-05,-0.092000007629,0.1000000047
-2.471999869e-05,-0.096000000834,0.1000000047
-2.46999989e-05,-0.096000000834,0.1000000047
-2.467999911e-05,-0.096000000834,0.1000000047
-2.465999933e-05,-0.096000000834,0.1000000047
-2.463999954e-05,-0.096000000834,0.1000000047
-2.461999975e-05,-0.096000000834,0.1000000047
-2.459999996e-05,-0.096000000834,0.1000000047
-2.458000017e-05,-0.096000000834,0.1000000047
-2.455999856e-05,-0.096000000834,0.1000000047
-2.453999878e-05,-0.096000000834,0.1000000047
-2.451999899e-05,-0.1000000015,0.1000000047
-2.44999992e-05,-0.096000000834,0.1000000047
-2.447999941e-05,-0.096000000834,0.1000000047
-2.445999962e-05,-0.096000000834,0.1000000047
-2.443999983e-05,-0.1000000015,0.1000000047
-2.442000005e-05,-0.1000000015,0.1000000047
-2.440000026e-05,-0.1000000015,0.1000000047
-2.437999865e-05,-0.1000000015,0.1000000047
-2.435999886e-05,-0.1000000015,0.1000000047
-2.433999907e-05,-0.1000000015,0.1000000047
-2.431999928e-05,-0.1000000015,0.1000000047
-2.42999995e-05,-0.1000000015,0.1000000047
-2.427999971e-05,-0.1000000015,0.1000000047
-2.425999992e-05,-0.1000000015,0.1000000047
-2.424000013e-05,-0.1040000021,0.1000000047
-2.421999852e-05,-0.1000000015,0.1000000047
-2.419999873e-05,-0.1040000021,0.1000000047
