Record Length,2500,Points,38.99999865E-6,-140.0000006E-3,,Record Length,2500,Points,38.99999865E-6,-150.00000596E-3,
Sample Interval,19.9999999E-9,s,39.02000026E-6,-138.0000114E-3,,Sample Interval,19.9999999E-9,s,39.02000026E-6,-150.00000596E-3,
Trigger Point,-1.9500000E3,Samples,39.03999823E-6,-140.0000006E-3,,Trigger Point,-1.9500000E3,Samples,39.03999823E-6,-152.00001001E-3,
,,,39.05999984E-6,-138.0000114E-3,,,,,39.05999984E-6,-150.00000596E-3,
,,,39.07999780E-6,-138.0000114E-3,,,,,39.07999780E-6,-156.00000322E-3,
,,,39.09999941E-6,-136.0000074E-3,,,,,39.09999941E-6,-150.00000596E-3,
Source,CH1,,39.11999738E-6,-138.0000114E-3,,Source,CH2,,39.11999738E-6,-148.0000019E-3,
Vertical Units,Volts,,39.13999899E-6,-134.0000033E-3,,Vertical Units,Volts,,39.13999899E-6,-152.00001001E-3,
Vertical Scale,50.00000237E-3,,39.15999696E-6,-131.9999993E-3,,Vertical Scale,50.00000237E-3,,39.15999696E-6,-150.00000596E-3,
Vertical Offset,0,,39.17999857E-6,-131.9999993E-3,,Vertical Offset,0,,39.17999857E-6,-150.00000596E-3,
Horizontal Units,s,,39.20000017E-6,-131.9999993E-3,,Horizontal Units,s,,39.20000017E-6,-152.00001001E-3,
Horizontal Scale,4.99999997E-6,,39.21999814E-6,-131.9999993E-3,,Horizontal Scale,4.99999997E-6,,39.21999814E-6,-150.00000596E-3,
Pt Fmt,Y,,39.23999975E-6,-130.0000101E-3,,Pt Fmt,Y,,39.23999975E-6,-148.0000019E-3,
Yzero,80.000000000E-3,,39.25999772E-6,-126.0000020E-3,,Yzero,0.0,,39.25999772E-6,-150.00000596E-3,
Probe Atten,1.000000,,39.27999933E-6,-131.9999993E-3,,Probe Atten,1.000000,,39.27999933E-6,-148.0000019E-3,
,,,39.29999730E-6,-130.0000101E-3,,,,,39.29999730E-6,-148.0000019E-3,
Note,TDS 1001B - 10:55:07   14/05/2025,,39.31999890E-6,-126.0000020E-3,,Note,TDS 1001B - 10:55:07   14/05/2025,,39.31999890E-6,-148.0000019E-3,
,,,39.33999687E-6,-124.0000054E-3,,,,,39.33999687E-6,-152.00001001E-3,
,,,39.35999848E-6,-122.0000088E-3,,,,,39.35999848E-6,-152.00001001E-3,
,,,39.38000009E-6,-126.0000020E-3,,,,,39.38000009E-6,-148.0000019E-3,
,,,39.39999806E-6,-120.0000048E-3,,,,,39.39999806E-6,-148.0000019E-3,
,,,39.41999967E-6,-120.0000048E-3,,,,,39.41999967E-6,-148.0000019E-3,
,,,39.43999764E-6,-120.0000048E-3,,,,,39.43999764E-6,-150.00000596E-3,
,,,39.45999924E-6,-116.0000041E-3,,,,,39.45999924E-6,-148.0000019E-3,
,,,39.47999721E-6,-116.0000041E-3,,,,,39.47999721E-6,-148.0000019E-3,
,,,39.49999882E-6,-116.0000041E-3,,,,,39.49999882E-6,-148.0000019E-3,
,,,39.52000043E-6,-116.0000041E-3,,,,,39.52000043E-6,-146.0000128E-3,
,,,39.53999840E-6,-114.0000075E-3,,,,,39.53999840E-6,-144.0000087E-3,
,,,39.56000000E-6,-112.0000035E-3,,,,,39.56000000E-6,-144.0000087E-3,
,,,39.57999797E-6,-110.0000069E-3,,,,,39.57999797E-6,-146.0000128E-3,
,,,39.59999958E-6,-112.0000035E-3,,,,,39.59999958E-6,-146.0000128E-3,
,,,39.61999755E-6,-112.0000035E-3,,,,,39.61999755E-6,-146.0000128E-3,
,,,39.63999916E-6,-110.0000069E-3,,,,,39.63999916E-6,-146.0000128E-3,
,,,39.65999713E-6,-108.0000028E-3,,,,,39.65999713E-6,-144.0000087E-3,
,,,39.67999874E-6,-108.0000028E-3,,,,,39.67999874E-6,-144.0000087E-3,
,,,39.70000034E-6,-106.0000062E-3,,,,,39.70000034E-6,-142.0000046E-3,
,,,39.71999831E-6,-106.0000062E-3,,,,,39.71999831E-6,-140.0000006E-3,
,,,39.73999992E-6,-104.0000021E-3,,,,,39.73999992E-6,-140.0000006E-3,
,,,39.75999789E-6,-104.0000021E-3,,,,,39.75999789E-6,-142.0000046E-3,
,,,39.77999950E-6,-100.0000015E-3,,,,,39.77999950E-6,-144.0000087E-3,
,,,39.79999747E-6,-98.000004888E-3,,,,,39.79999747E-6,-142.0000046E-3,
,,,39.81999907E-6,-100.0000015E-3,,,,,39.81999907E-6,-140.0000006E-3,
,,,39.83999704E-6,-98.000004888E-3,,,,,39.83999704E-6,-138.0000114E-3,
,,,39.85999865E-6,-96.000000834E-3,,,,,39.85999865E-6,-142.0000046E-3,
,,,39.88000026E-6,-98.000004888E-3,,,,,39.88000026E-6,-140.0000006E-3,
,,,39.89999823E-6,-96.000000834E-3,,,,,39.89999823E-6,-142.0000046E-3,
,,,39.91999984E-6,-92.000007629E-3,,,,,39.91999984E-6,-140.0000006E-3,
,,,39.93999781E-6,-92.000007629E-3,,,,,39.93999781E-6,-140.0000006E-3,
,,,39.95999941E-6,-92.000007629E-3,,,,,39.95999941E-6,-138.0000114E-3,
,,,39.97999738E-6,-92.000007629E-3,,,,,39.97999738E-6,-134.0000033E-3,
,,,39.99999899E-6,-88.000006974E-3,,,,,39.99999899E-6,-136.0000074E-3,
,,,40.01999696E-6,-90.000003576E-3,,,,,40.01999696E-6,-136.0000074E-3,
,,,40.03999857E-6,-88.000006974E-3,,,,,40.03999857E-6,-138.0000114E-3,
,,,40.06000017E-6,-88.000006974E-3,,,,,40.06000017E-6,-138.0000114E-3,
,,,40.07999814E-6,-84.000006318E-3,,,,,40.07999814E-6,-136.0000074E-3,
,,,40.09999975E-6,-84.000006318E-3,,,,,40.09999975E-6,-134.0000033E-3,
,,,40.11999772E-6,-82.000002265E-3,,,,,40.11999772E-6,-134.0000033E-3,
,,,40.13999933E-6,-82.000002265E-3,,,,,40.13999933E-6,-131.9999993E-3,
,,,40.15999730E-6,-84.000006318E-3,,,,,40.15999730E-6,-134.0000033E-3,
,,,40.17999890E-6,-78.000001609E-3,,,,,40.17999890E-6,-134.0000033E-3,
,,,40.19999687E-6,-80.000005662E-3,,,,,40.19999687E-6,-134.0000033E-3,
,,,40.21999848E-6,-76.000005007E-3,,,,,40.21999848E-6,-131.9999993E-3,
,,,40.24000009E-6,-78.000001609E-3,,,,,40.24000009E-6,-131.9999993E-3,
